================================================================================
Node ID    Type   Start  Finish  Delay  Res#  ASAP  ALAP  Mobility 
n198       MUL    55     57      2      2     55    55    0        
n199       ADD    55     56      1      -1    55    58    3        
n204       ADD    55     56      1      1     55    60    5        
n206       ADD    55     56      1      3     55    65    10       
n217       ADD    55     56      1      5     55    67    12       
n201       ADD    56     57      1      7     56    63    7        
n208       ADD    56     57      1      2     56    61    5        
n209       ADD    56     57      1      4     56    63    7        
n210       ADD    56     57      1      6     56    58    2        
n202       ADD    57     58      1      -1    57    60    3        
n207       MUL    57     59      2      4     57    57    0        
n212       ADD    57     58      1      1     57    62    5        
n214       MUL    57     59      2      -1    57    64    7        
n215       ADD    57     58      1      5     57    65    8        
n221       ADD    57     58      1      3     57    63    6        
n227       ADD    57     58      1      2     57    65    8        
n205       ADD    58     59      1      4     58    61    3        
n223       MUL    58     60      2      5     58    66    8        
n211       ADD    59     60      1      6     59    59    0        
n213       ADD    59     60      1      7     59    62    3        
n218       ADD    59     60      1      -1    59    65    6        
n216       MUL    60     62      2      1     60    60    0        
n224       ADD    60     61      1      1     60    66    6        
n230       MUL    60     62      2      6     60    64    4        
n219       ADD    62     63      1      5     62    70    8        
n220       ADD    62     63      1      2     62    62    0        
n225       ADD    62     63      1      3     62    63    1        
n248       MUL    62     64      2      2     62    69    7        
n222       ADD    63     64      1      4     63    63    0        
n226       ADD    63     64      1      -1    63    64    1        
n229       MUL    63     65      2      -1    63    67    4        
n233       MUL    63     65      2      3     63    66    3        
n235       ADD    63     64      1      6     63    71    8        
n238       MUL    63     65      2      7     63    66    3        
n228       MUL    64     66      2      4     64    64    0        
n232       ADD    64     65      1      7     64    75    11       
n234       MUL    64     66      2      5     64    65    1        
n236       ADD    65     66      1      1     65    69    4        
n239       MUL    65     67      2      1     65    70    5        
n231       ADD    66     67      1      2     66    66    0        
n237       MUL    66     68      2      6     66    68    2        
n241       ADD    66     67      1      3     66    69    3        
n249       ADD    66     67      1      -1    66    76    10       
n258       ADD    66     67      1      5     66    76    10       
n240       ADD    67     68      1      4     67    67    0        
n243       ADD    67     68      1      7     67    75    8        
n247       ADD    67     68      1      6     67    70    3        
n242       MUL    68     70      2      -1    68    72    4        
n244       MUL    68     70      2      2     68    68    0        
n251       ADD    68     69      1      3     68    77    9        
n252       ADD    68     69      1      2     68    76    8        
n253       ADD    68     69      1      1     68    70    2        
n255       ADD    68     69      1      -1    68    73    5        
n270       ADD    68     69      1      5     68    77    9        
n273       MUL    68     70      2      3     68    85    17       
n260       MUL    69     71      2      7     69    74    5        
n266       ADD    69     70      1      4     69    78    9        
n277       ADD    69     70      1      6     69    82    13       
n245       ADD    70     71      1      -1    70    75    5        
n246       ADD    70     71      1      7     70    70    0        
n254       ADD    70     71      1      1     70    79    9        
n256       MUL    70     72      2      4     70    74    4        
n250       ADD    71     72      1      3     71    76    5        
n257       ADD    71     72      1      2     71    71    0        
n263       ADD    71     72      1      4     71    84    13       
n265       ADD    71     72      1      5     71    77    6        
n279       ADD    71     72      1      6     71    87    16       
n259       MUL    72     74      2      5     72    72    0        
n264       MUL    72     74      2      6     72    77    5        
n267       MUL    72     74      2      1     72    76    4        
n297       ADD    72     73      1      -1    72    88    16       
n261       MUL    74     76      2      -1    74    77    3        
n262       ADD    74     75      1      1     74    74    0        
n271       ADD    74     75      1      2     74    83    9        
n282       ADD    74     75      1      7     74    83    9        
n269       ADD    75     76      1      3     75    75    0        
n286       ADD    75     76      1      4     75    86    11       
n268       ADD    76     77      1      5     76    79    3        
n272       MUL    76     78      2      2     76    76    0        
n276       ADD    76     77      1      6     76    83    7        
n284       MUL    76     78      2      3     76    84    8        
n274       ADD    77     78      1      -1    77    80    3        
n278       MUL    77     79      2      7     77    84    7        
n275       ADD    78     79      1      1     78    84    6        
n280       MUL    78     80      2      4     78    78    0        
n281       ADD    78     79      1      2     78    86    8        
n298       ADD    78     79      1      7     78    88    10       
n288       MUL    79     81      2      1     79    87    8        
n291       ADD    79     80      1      3     79    86    7        
n283       ADD    80     81      1      4     80    80    0        
n294       ADD    80     81      1      5     80    87    7        
n285       MUL    81     83      2      5     81    81    0        
n296       ADD    81     82      1      6     81    88    7        
n287       MUL    83     85      2      6     83    83    0        
n290       MUL    83     85      2      -1    83    85    2        
n292       MUL    83     85      2      2     83    87    4        
n289       MUL    85     87      2      3     85    85    0        
n299       ADD    85     86      1      -1    85    88    3        
n293       ADD    87     88      1      1     87    87    0        
n295       ADD    88     89      1      2     88    88    0        
================================================================================
